Track Name,Singer_Name,Track_Popularity,Playlist_Genre
ritmo (bad boys for life),Theblackeyedpeas,91.0,Pop
lose control,Meduza,68.0,Pop
higher love,Kygo,50.0,Pop
turn me on (feat. vula),Riton,45.0,Pop
never really over,Katyperry,41.0,Pop
don't call me up,Mabel,41.0,Pop
one kiss (with dua lipa),Calvinharris,41.0,Pop
in my mind,Dynoro,36.0,Pop
wake me up,Avicii,36.0,Pop
the middle,Zedd,36.0,Pop
promises (with sam smith),Calvinharris,36.0,Pop
"taki taki (with selena gomez, ozuna & cardi b)",Djsnake,32.0,Pop
giant (with rag'n'bone man),Calvinharris,32.0,Pop
summer days (feat. macklemore & patrick stump of fall out boy),Martingarrix,32.0,Pop
used to love (with dean lewis),Martingarrix,32.0,Pop
